,ccode,pcode,year,cgdp_c2000,pgdp_c2000
4607,ARE,GIN,2001,72700000000.0,3230000000.0
4637,ARE,GIN,1992,48900000000.0,2200000000.0
4672,ARE,GMB,1999,62600000000.0,399000000.0
4673,ARE,GMB,2000,70300000000.0,421000000.0
4674,ARE,GMB,2001,72700000000.0,445000000.0
4715,ARE,GMB,1992,48900000000.0,325000000.0
4733,ARE,GRC,1991,47600000000.0,91700000000.0
4734,ARE,GRC,1992,48900000000.0,92400000000.0
4735,ARE,GRC,1993,48500000000.0,90900000000.0
4736,ARE,GRC,1999,62600000000.0,107000000000.0
4737,ARE,GRC,2000,70300000000.0,112000000000.0
4738,ARE,GRC,2001,72700000000.0,117000000000.0
4790,ARE,GRC,1984,45300000000.0,81600000000.0
4791,ARE,GRC,1985,42300000000.0,83600000000.0
4792,ARE,GRC,1988,35600000000.0,85700000000.0
4793,ARE,GRC,1989,40400000000.0,89000000000.0
4870,ARE,GRD,2001,72700000000.0,392000000.0
4871,ARE,GTM,1991,47600000000.0,13400000000.0
4872,ARE,GTM,1992,48900000000.0,14000000000.0
4873,ARE,GTM,1993,48500000000.0,14600000000.0
4874,ARE,GTM,1999,62600000000.0,18600000000.0
4875,ARE,GTM,2000,70300000000.0,19300000000.0
4876,ARE,GTM,2001,72700000000.0,19700000000.0
4900,ARE,GUY,1999,62600000000.0,722000000.0
4905,ARE,GUY,2000,70300000000.0,712000000.0
4912,ARE,HKG,1991,47600000000.0,112000000000.0
4913,ARE,HKG,1992,48900000000.0,120000000000.0
4914,ARE,HKG,1993,48500000000.0,127000000000.0
4915,ARE,HKG,1999,62600000000.0,150000000000.0
4916,ARE,HKG,2000,70300000000.0,165000000000.0
4917,ARE,HKG,2001,72700000000.0,166000000000.0
4978,ARE,HKG,1984,45300000000.0,74900000000.0
4979,ARE,HKG,1985,42300000000.0,75100000000.0
4980,ARE,HKG,1989,40400000000.0,104000000000.0
5065,ARE,HND,1992,48900000000.0,4700000000.0
5066,ARE,HND,1993,48500000000.0,5000000000.0
5067,ARE,HND,1999,62600000000.0,5640000000.0
5068,ARE,HND,2000,70300000000.0,5960000000.0
5072,ARE,HND,2001,72700000000.0,6110000000.0
5080,ARE,HRV,1993,48500000000.0,13800000000.0
5081,ARE,HRV,2000,70300000000.0,18400000000.0
5082,ARE,HRV,2001,72700000000.0,19300000000.0
5085,ARE,HRV,1999,62600000000.0,17900000000.0
5123,ARE,HTI,2000,70300000000.0,3950000000.0
5126,ARE,HTI,1999,62600000000.0,3920000000.0
5127,ARE,HUN,1991,47600000000.0,38100000000.0
5128,ARE,HUN,1992,48900000000.0,36900000000.0
5129,ARE,HUN,1993,48500000000.0,36700000000.0
5130,ARE,HUN,1999,62600000000.0,44400000000.0
5131,ARE,HUN,2000,70300000000.0,46700000000.0
5132,ARE,HUN,2001,72700000000.0,48500000000.0
5171,ARE,HUN,1986,34400000000.0,42800000000.0
5231,ARE,IDN,1991,47600000000.0,119000000000.0
5232,ARE,IDN,1992,48900000000.0,128000000000.0
5233,ARE,IDN,1993,48500000000.0,137000000000.0
5234,ARE,IDN,1999,62600000000.0,157000000000.0
5235,ARE,IDN,2000,70300000000.0,165000000000.0
5236,ARE,IDN,2001,72700000000.0,171000000000.0
5295,ARE,IDN,1988,35600000000.0,91800000000.0
5382,ARE,IND,1991,47600000000.0,271000000000.0
5383,ARE,IND,1992,48900000000.0,285000000000.0
5384,ARE,IND,1993,48500000000.0,299000000000.0
5385,ARE,IND,1999,62600000000.0,440000000000.0
5386,ARE,IND,2000,70300000000.0,457000000000.0
5387,ARE,IND,2001,72700000000.0,481000000000.0
5451,ARE,IND,1985,42300000000.0,198000000000.0
5452,ARE,IND,1986,34400000000.0,208000000000.0
5453,ARE,IND,1989,40400000000.0,253000000000.0
5454,ARE,IND,1990,47500000000.0,268000000000.0
5542,ARE,IRL,1991,47600000000.0,48100000000.0
5543,ARE,IRL,1992,48900000000.0,49700000000.0
5544,ARE,IRL,1993,48500000000.0,51000000000.0
5545,ARE,IRL,1999,62600000000.0,86100000000.0
5546,ARE,IRL,2000,70300000000.0,94800000000.0
5547,ARE,IRL,2001,72700000000.0,101000000000.0
5663,ARE,IRN,1991,47600000000.0,72000000000.0
5664,ARE,IRN,1992,48900000000.0,76400000000.0
5665,ARE,IRN,1993,48500000000.0,78000000000.0
5666,ARE,IRN,1999,62600000000.0,91600000000.0
5667,ARE,IRN,2000,70300000000.0,96200000000.0
5668,ARE,IRN,2001,72700000000.0,99500000000.0
5724,ARE,IRN,1984,45300000000.0,63300000000.0
5725,ARE,IRN,1985,42300000000.0,64400000000.0
5726,ARE,IRN,1986,34400000000.0,58600000000.0
